Position,Track Name,Artist,Streams,date,region,id
132,If The World Was Ending (feat. Julia Michaels),JP Saxe,61231,2020-01-03,gb,2kJwzbxV2ppxnQoYw4GLBZ
133,2002,Anne-Marie,61025,2020-01-03,gb,2BgEsaKNfHUdlh97KmvFyo
134,Big Michael,Stormzy,60307,2020-01-03,gb,4zrQ9UIhPD6lL6VBISJ5aE
135,Fashion Week (feat. AJ Tracey & MoStack),Steel Banglez,60225,2020-01-03,gb,78KyOmqWmqLkQcXO1cA7MO
136,Floss (feat. MoStack & Not3s),AJ Tracey,60190,2020-01-03,gb,0LjXPuuttcYpND3IxAFww1
137,Kitchen Kings,D-Block Europe,60067,2020-01-03,gb,1RJHieKAxYz9qbREvOR5eA
138,Lalala,Y2K,59598,2020-01-03,gb,51Fjme0JiitpyXKuyQiCDo
139,Superheroes,Stormzy,59545,2020-01-03,gb,02t2kfqtYpPW8718hxnBcV
140,Wonderwall - Remastered,Oasis,59370,2020-01-03,gb,5qqabIl2vWzo9ApSC317sa
141,God's Plan,Drake,59129,2020-01-03,gb,6DCZcSspjsKoFjzjrWoCdn
142,Just You and I,Tom Walker,58744,2020-01-03,gb,03x2rVJRFUrvwlfxoHd9Mo
143,"10,000 Hours (with Justin Bieber)",Dan + Shay,58727,2020-01-03,gb,2wrJq5XKLnmhRXHIAf9xBa
144,all the good girls go to hell,Billie Eilish,58661,2020-01-03,gb,6IRdLKIyS4p7XNiP8r6rsx
145,Better Now,Post Malone,58563,2020-01-03,gb,7dt6x5M1jzdTEt8oCbisTK
146,Family,The Chainsmokers,58403,2020-01-03,gb,3TKpJrY9q49Mj1JOsM9zGL
147,Jerry Sprunger (with T-Pain),Tory Lanez,57977,2020-01-03,gb,6JsHgIkMYHcbNtKfsal2Mg
148,Liar,Camila Cabello,57662,2020-01-03,gb,073ILU1C3APNRGF66VhtyA
149,Good as Hell,Lizzo,57528,2020-01-03,gb,3Yh9lZcWyKrK9GjbhuS0hR
150,The Last Time,The Script,57441,2020-01-03,gb,600oiqLkQIJ85HvQGIQWvO
151,F.N,Lil Tjay,57097,2020-01-03,gb,0RLLvYBopDwooCyvnTwgYu
152,Riptide,Vance Joy,56610,2020-01-03,gb,7yq4Qj7cqayVTp3FF9CWbm
153,Hate Me (with Juice WRLD),Ellie Goulding,56555,2020-01-03,gb,6kls8cSlUyHW2BUOkDJIZE
154,One Dance,Drake,56527,2020-01-03,gb,1zi7xx7UVEFkmKfv06H8x0
155,Panini,Lil Nas X,56446,2020-01-03,gb,1000nHvUdawXuUHgBod4Wv
156,Say You Won't Let Go,James Arthur,56428,2020-01-03,gb,5uCax9HTNlzGybIStD3vDh
157,Rainfall (feat. Tiana Major9),Stormzy,55962,2020-01-03,gb,0AtMTwBF9dmAd2kjgKXpSu
158,W (feat. Gunna),Koffee,55299,2020-01-03,gb,6xW2g0c5uSoa3S6xk9eI4j
159,One Kiss (with Dua Lipa),Calvin Harris,54955,2020-01-03,gb,7ef4DlsgrMEH11cDZd32M6
160,GATTI,JACKBOYS,54900,2020-01-03,gb,40mjsnRjCpycdUw3xhS20g
161,Never Really Over,Katy Perry,54684,2020-01-03,gb,5PYQUBXc7NYeI1obMKSJK0
162,Dancing With A Stranger (with Normani),Sam Smith,54644,2020-01-03,gb,6Qs4SXO9dwPj5GKvVOv8Ki
163,Giant (with Rag'n'Bone Man),Calvin Harris,54623,2020-01-03,gb,5itOtNx0WxtJmi1TQ3RuRd
164,Love Me Again (with Jess Glynne),RAYE,54481,2020-01-03,gb,359R03sj5qiwy4j0TqvLog
165,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,54434,2020-01-03,gb,3bidbhpOYeV4knp8AIu8Xn
166,Don't Stop Me Now - 2011 Mix,Queen,54247,2020-01-03,gb,5T8EDUDqKcs6OSOwEsfqG7
167,Trampoline,SHAED,54194,2020-01-03,gb,4HBvwhhYo7YiYXkUDrOHzS
168,SOS (feat. Aloe Blacc),Avicii,54072,2020-01-03,gb,2x0RZdkZcD8QRI53XT4GI5
169,Everywhere - 2017 Remaster,Fleetwood Mac,54017,2020-01-03,gb,254bXAqt3zP6P50BdQvEsq
170,Golden,Harry Styles,53912,2020-01-03,gb,45S5WTQEGOB1VHr1Q4FuPl
171,Wake Me Up,Avicii,53900,2020-01-03,gb,4h8VwCb1MTGoLKueQ1WgbD
172,Guten Tag,Hardy Caprio,53895,2020-01-03,gb,0SErNy2An0gCpYFRUNWwNT
173,Do Better,Stormzy,53077,2020-01-03,gb,0nLfmQWIqjZkCQNhfP0EHv
174,Be Alright,Dean Lewis,52806,2020-01-03,gb,5qrSlOut2rNAWv3ubArkNy
175,Dancing in the Moonlight,Toploader,52718,2020-01-03,gb,3Fzlg5r1IjhLk2qRw667od
176,Body (feat. Brando),Loud Luxury,52019,2020-01-03,gb,7K7MUBCnzgBAvMVW2RTWNs
177,Butterflies (feat. Not3s),AJ Tracey,52011,2020-01-03,gb,4hGsbyf3p0U5mlJTJwiUTq
178,Candy,Doja Cat,51962,2020-01-03,gb,1VJwtWR6z7SpZRwipI12be
179,Mad Love,Mabel,51939,2020-01-03,gb,0bfWT3AgM7ZTuqesJvRP6H
180,Legends,Juice WRLD,51850,2020-01-03,gb,1Knctxx9vGZxpZfF66BIEa
181,Shut Up and Dance,WALK THE MOON,51708,2020-01-03,gb,0kzw2tRyuL9rzipi5ntlIy
182,Murder On My Mind,YNW Melly,51087,2020-01-03,gb,7eBqSVxrzQZtK2mmgRG6lC
183,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,51086,2020-01-03,gb,3gdewACMIVMEWVbyb8O9sY
184,Jocelyn Flores,XXXTENTACION,51009,2020-01-03,gb,7m9OqQk4RVRkw9JJdeAw96
185,Believer,Imagine Dragons,50763,2020-01-03,gb,0pqnGHJpmpxLKifKRmU6WP
186,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,50710,2020-01-03,gb,4wopYJ5wpYOM6ogm2Jugnw
187,Woah,Lil Baby,50614,2020-01-03,gb,598yNsG1JFrGd4n2kMoz7F
188,Paradise,George Ezra,50569,2020-01-03,gb,38zwkK6TtTjIW9tpYBfZ3D
189,Graveyard,Halsey,50557,2020-01-03,gb,6V9fHiv84WlVTg7CSnIVY2
190,Don't Look Back in Anger - Remastered,Oasis,50494,2020-01-03,gb,0UvCh63URrLFcPkKt99hHd
191,OUT WEST (feat. Young Thug),JACKBOYS,50199,2020-01-03,gb,6gi6y1xwmVszDWkUqab1qw
192,Juice,Lizzo,50156,2020-01-03,gb,0k664IuFwVP557Gnx7RhIl
193,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,49907,2020-01-03,gb,1wJRveJZLSb1rjhnUHQiv6
194,Orphans,Coldplay,49896,2020-01-03,gb,03T4ttRCiLXST6MZjeMwmR
195,You Need To Calm Down,Taylor Swift,49886,2020-01-03,gb,6RRNNciQGZEXnqk8SQ9yv5
196,Show Yourself,Idina Menzel,49748,2020-01-03,gb,50WeOnXhM1H7AZEeIDoWfZ
197,Don't Stop Believin',Journey,49499,2020-01-03,gb,4bHsxqR3GMrXTxEPLuK5ue
198,The Less I Know The Better,Tame Impala,49413,2020-01-03,gb,6K4t31amVTZDgR3sKmwUJJ
199,Perfect,Ed Sheeran,49401,2020-01-03,gb,0tgVpDi06FyKpA1z0VMD4v
200,Do I Wanna Know?,Arctic Monkeys,49220,2020-01-03,gb,3rq5w4bQGigXOfdN30ATJt
